,cause_0,effect_0,cause_1,effect_1,label
80,My foot went numb.,I put my shoes on.,My foot went numb.,I shook my foot.,1
81,The photographer got the child to smile.,The photographer quickly snapped the child's photo.,The photographer got the child to smile.,The photographer quickly changed the child's pose.,0
82,The tile was wet.,I slipped on the floor.,The tile was cracked.,I slipped on the floor.,0
83,The man slid the razor across his chin.,His stubble grew.,The man slid the razor across his chin.,His stubble disappeared.,1
84,Her husband got laid off.,The woman took her family on vacation.,She received a salary bonus.,The woman took her family on vacation.,1
85,She took sleeping pills.,The woman awakened.,Her husband was snoring.,The woman awakened.,1
86,The woman sensed a pleasant smell.,She remembered to take her medication.,The woman sensed a pleasant smell.,She was reminded of her childhood.,1
87,It was crowded.,The bar closed.,It was 3 AM.,The bar closed.,1
88,The teacher took roll.,She identified the students that were absent.,The teacher took roll.,She gave her students a pop quiz.,0
89,I pushed the pendulum.,It slowed to a stop.,I pushed the pendulum.,It swung back and forth.,1
90,The child kicked the stack of blocks.,The stack towered over the boy's head.,The child kicked the stack of blocks.,The blocks scattered all over the rug.,1
91,He relied on his parents.,The teenager ran away from home.,His parents abused him.,The teenager ran away from home.,1
92,The interviewer asked difficult questions.,I botched the job interview.,I anticipated the interviewer's questions.,I botched the job interview.,0
93,Users reported dangerous side effects.,The pharmaceutical company recalled the drug.,Users got refills on their prescriptions.,The pharmaceutical company recalled the drug.,0
94,The man looked at his watch.,He realized he forgot something.,The man looked at his watch.,He realized he was early.,1
95,I spilled juice on the floor.,I dabbed the floor with a paper towel.,The floor was permanently stained.,I dabbed the floor with a paper towel.,0
96,The patron was alone.,The bartender refused to serve the patron.,The patron was drunk.,The bartender refused to serve the patron.,1
97,I was confused by the professor's lecture.,I paid attention to the professor.,I was confused by the professor's lecture.,I asked the professor questions.,1
98,The book was deemed inappropriate for children.,Schools banned it from its libraries.,The book was deemed inappropriate for children.,Teachers required students to read it.,0
99,The man begged for forgiveness.,The woman took pity on him.,The man begged for forgiveness.,The woman joked around with him.,0
100,I received a package in the mail.,The package triggered my curiosity.,I received a package in the mail.,I took the package to the post office.,0
101,The speaker disarmed her debate opponent.,The speaker congratulated her opponent.,The speaker disarmed her debate opponent.,The speaker won the debate.,1
102,I found a better-paying job.,I moved to a new city.,My son was born.,I moved to a new city.,0
103,The question made me uncomfortable.,I avoided giving a straight answer to the question.,I wanted to be honest.,I avoided giving a straight answer to the question.,0
104,He talked back to the teacher.,The student received detention.,The teacher graded his homework.,The student received detention.,0
105,He planned to ask the girl out.,The boy's hands were shaking.,His palms were cold and sweaty.,The boy's hands were shaking.,0
106,The game ended in a tie.,The fans in the stadium cheered.,The player scored.,The fans in the stadium cheered.,1
107,The girl went down the hill on her bike.,Her bike swerved.,The girl went down the hill on her bike.,Her bike sped up.,1
108,A man cut in front of me in the long line.,I confronted him.,A man cut in front of me in the long line.,I smiled at him.,0
109,The train travelled through a tunnel.,The inside of the train went dark.,The train ran off the tracks.,The inside of the train went dark.,0
110,It ate a fish.,The turtle hid in its shell.,It detected a predator.,The turtle hid in its shell.,1
111,The clothes were tattered.,The girl handed down her clothes to her younger sister.,She outgrew the clothes.,The girl handed down her clothes to her younger sister.,1
112,Several witnesses of the crime testified against the suspect.,The suspect was acquitted.,Several witnesses of the crime testified against the suspect.,The suspect was convicted.,1
113,Their youngest child started attending preschool.,The parents left their children with a babysitter.,They made plans to celebrate their anniversary.,The parents left their children with a babysitter.,1
114,The product was heavily advertised.,Consumers recognized the product.,The product was heavily advertised.,The product became outdated.,0
115,The cowgirl threw her lasso towards the horse.,The lasso grabbed onto the horse.,The cowgirl threw her lasso towards the horse.,The horse trotted into the barn.,0
116,The group overlooked the woman's faux pas.,The woman was relieved.,The group overlooked the woman's faux pas.,The woman apologized.,0
117,The girl came across an unfamiliar word in her textbook.,She looked the term up in the dictionary.,The girl came across an unfamiliar word in her textbook.,She chucked the textbook across the room.,0
118,The man became disabled.,His family offered him financial support.,The man became disabled.,His family cut off contact with him.,0
119,The flashlight was dead.,I took it apart.,The flashlight was dead.,I replaced the batteries.,1
120,The skunk sprayed the dog.,The dog emitted a foul smell.,The skunk sprayed the dog.,The skunk roamed the woods.,0
121,I scratched my skin.,My itch went away.,I scratched my skin.,My scar faded.,0
122,She became forgetful.,I wrote a thank-you note to my grandmother.,She sent me a gift.,I wrote a thank-you note to my grandmother.,1
123,I held the door for the woman entering behind me.,The door slammed shut.,I held the door for the woman entering behind me.,The woman thanked me.,1
124,The mirror in the bathroom fogged up.,The girl turned on the fan.,The mirror in the bathroom fogged up.,The girl applied her makeup.,0
125,The driver rotated the steering wheel.,The car halted.,The driver rotated the steering wheel.,The car turned.,1
126,The navy bombed the ship.,The ship crashed into the pier.,The navy bombed the ship.,The ship's debris sunk in the sea.,1
127,The girl felt dizzy.,She lost her balance.,The girl felt dizzy.,She did stretches.,0
128,He went through an intersection.,The driver pulled over to the side of the road.,He noticed a stranded vehicle.,The driver pulled over to the side of the road.,1
129,The patient's symptoms cleared up.,The hospital sent the patient home.,The patient's family visited him.,The hospital sent the patient home.,0
130,She didn't get vaccinated.,The child caught a life-threatening illness.,She was adopted.,The child caught a life-threatening illness.,0
131,We found empty seats in the theatre.,The film began.,We found empty seats in the theatre.,We sat down.,1
132,The parents recognized their daughter's creativity.,They taught her how to ride a bike.,The parents recognized their daughter's creativity.,They encouraged her to become an artist.,1
133,The boy turned the lid on the jar.,The jar became warm.,The boy turned the lid on the jar.,The lid came off.,1
134,She enrolled in college.,The woman received a diploma.,She graduated from college.,The woman received a diploma.,1
135,I walked upstairs.,I chugged the pitcher of water.,I ran five miles.,I chugged the pitcher of water.,1
136,I came upon a puddle on the sidewalk.,I leapt over the puddle.,I came upon a puddle on the sidewalk.,I played in the puddle.,0
137,The archeologist dug up the site.,She excavated ancient artifacts.,The archeologist dug up the site.,She read about the site's history.,0
138,He told a racist joke.,The audience booed the comedian off the stage.,He entertained the audience.,The audience booed the comedian off the stage.,0
139,The player got a penalty.,The coach gave his player a high five.,The player scored a point.,The coach gave his player a high five.,1
140,My breath smelled of garlic.,I wiped my mouth.,My breath smelled of garlic.,I brushed my teeth.,1
141,The man was lost.,He asked for directions.,The man was lost.,He drew a map.,0
142,The baby pulled the mother's hair.,The baby burped.,The baby pulled the mother's hair.,The mother grimaced.,1
143,I stood on one foot.,My balance wavered.,I stood on one foot.,I kneeled down.,0
144,I pushed the gas pedal.,The car accelerated.,I pushed the gas pedal.,The car door opened.,0
145,I parked illegally.,My car was towed.,I jumped the battery.,My car was towed.,0
146,Her accomplice was apprehended.,The woman got away with the crime.,She destroyed the evidence.,The woman got away with the crime.,1
147,The motorcyclist twisted the throttle.,The motorcycle coasted to a halt.,The motorcyclist twisted the throttle.,The motorcycle shot forward.,1
148,The teacher caught the student chewing gum.,The gum stuck to the student's shoe.,The teacher caught the student chewing gum.,The student spit out the gum.,1
149,The host served dinner to his guests.,His guests were gracious.,The host served dinner to his guests.,His guests went hungry.,0
150,A cat got stuck in the tree.,The boy climbed the tree.,A bird built a nest in the tree.,The boy climbed the tree.,0
151,The man carried the chair to his office.,The chair squeaked.,The man scooted the chair closer to his desk.,The chair squeaked.,1
152,It was bedtime for the children.,The father shut off the children's television.,The children were watching cartoons.,The father shut off the children's television.,0
153,He went underwater.,The man held his breath.,He treaded water.,The man held his breath.,0
154,I clumsily bumped into the stranger.,I ran away.,I clumsily bumped into the stranger.,I apologized to him.,1
155,The captain raised the sail.,The boat capsized.,It was caught in a hurricane.,The boat capsized.,1
156,He refused to talk to her.,The mother suspected that her son was lying.,He avoided making eye contact with her.,The mother suspected that her son was lying.,1
157,Her friends stood her up.,The young woman was denied entrance into the bar.,She forgot her ID.,The young woman was denied entrance into the bar.,1
158,A comet passed by the moon.,A crater formed on the moon.,A comet collided with the moon.,A crater formed on the moon.,1
159,I planted the seeds in the soil.,I watered the soil.,I planted the seeds in the soil.,The seeds sprouted.,1
160,He wanted to maintain his privacy.,The benefactor requested to stay anonymous.,He supported the cause behind his donation.,The benefactor requested to stay anonymous.,0
161,The doctor x-rayed the patient's arm.,He discovered that the patient's arm was broken.,The doctor x-rayed the patient's arm.,He put the patient's arm in a cast.,0
162,The woman upgraded her computer hardware.,She deleted old files on the computer.,The woman upgraded her computer hardware.,She installed new software on the computer.,1
163,The girl performed in a dance recital.,Her parents showed her how to dance.,The girl performed in a dance recital.,Her parents came to watch the recital.,1
164,The baby was wailing in his crib.,The mother picked up the baby.,The baby was wailing in his crib.,The baby crawled to the mother.,0
165,The woman had a religious awakening.,She began going to church.,The woman had a religious awakening.,She began travelling abroad.,0
166,The bureau drawers were cluttered.,I threw away unnecessary contents.,The bureau drawers were cluttered.,I locked the drawers shut.,0
167,He received a perfect score.,The student flaunted his test grade to his classmates.,He feigned interest in the class.,The student flaunted his test grade to his classmates.,0
168,He went away to camp.,The boy felt homesick.,He bickered with his sister.,The boy felt homesick.,0
169,The girl launched it.,The rocket flew up into the sky.,The girl designed it.,The rocket flew up into the sky.,0
170,The boy murmured his reply to his mother.,His mother told him to whisper.,The boy murmured his reply to his mother.,His mother told him to speak up.,1
171,Tornadoes were sighted in the area.,My flight got delayed.,I was held up at airport security.,My flight got delayed.,0
172,I lit a candle.,The smoke alarm went off.,I burnt my dinner.,The smoke alarm went off.,1
173,The vase broke.,I stenciled it.,The vase broke.,I glued it back together.,1
174,She grabbed the doorknob.,The woman felt an electric shock.,She pounded on the door.,The woman felt an electric shock.,0
175,The woman kissed him.,The man had lipstick on his cheek.,The woman made him blush.,The man had lipstick on his cheek.,0
176,The gardener wanted his plants to flourish.,He planted a variety of seeds.,The gardener wanted his plants to flourish.,He put fertilizer in the soil.,1
177,The water was unsanitary.,A water pipe in the house burst.,The pipe froze.,A water pipe in the house burst.,1
178,The waistband on my pants was loose.,I put on a belt.,The waistband on my pants was loose.,I put on a hat.,0
179,Its products received positive consumer reviews.,The company lost money.,Some of its products were manufactured defectively.,The company lost money.,1
180,They neglected to pay their rent.,The tenants were evicted from the apartment.,They got along with their landlord.,The tenants were evicted from the apartment.,0
181,The man woke up with a toothache.,He missed an appointment with the dentist.,The man woke up with a toothache.,He made an appointment with the dentist.,1
182,The movie was rated R.,The parents forbade their children from watching the movie. ,The movie was animated.,The parents forbade their children from watching the movie. ,0
183,The sender tried to solicit money from her.,The woman deleted the email.,The sender requested a response from her.,The woman deleted the email.,0
184,The police interrogated her.,The police eliminated the woman from the list of suspects.,Her alibi checked out.,The police eliminated the woman from the list of suspects.,1
185,The climbers reached the peak of the mountain.,They encountered an avalanche.,The climbers reached the peak of the mountain.,They congratulated each other.,1
186,The vandals threw a rock at the window.,The window cracked.,The vandals threw a rock at the window.,The window fogged up.,0
187,The fortune teller's revelations were convincing.,She received many returning customers.,The fortune teller's revelations were convincing.,Many customers asked for refunds.,0
188,She brushed her hair.,The woman's makeup smeared.,She wiped her eyes.,The woman's makeup smeared.,1
189,The company's profits started to level off.,It increased its marketing efforts for new products.,The company's profits started to level off.,It moved its headquarters to a suburban location.,0
190,The student's answer on the exam was incorrect.,The teacher added bonus points to the student's grade.,The student's answer on the exam was incorrect.,The teacher subtracted points off the student's grade.,1
191,The girl wanted to demonstrate proper etiquette.,She threw away her napkin after eating.,The girl wanted to demonstrate proper etiquette.,She put her napkin on her lap before eating.,1
192,The detective flashed his badge to the police officer.,The police officer confiscated the detective's badge.,The detective flashed his badge to the police officer.,The police officer let the detective enter the crime scene.,1
193,The girl wanted to make her mother happy.,The girl ate the cookies her mother baked.,The girl wanted to make her mother happy.,The girl picked a flower for her mother.,1
194,The toddler started crying.,Her parents took away her toy.,The toddler started crying.,Her parents gave her a toy.,1
195,The man uncovered incriminating evidence against his enemy.,The man avoided his enemy.,The man uncovered incriminating evidence against his enemy.,The man blackmailed his enemy.,1
196,The girl pushed herself off the top of the slide.,She glided down the slide.,The girl pushed herself off the top of the slide.,She crawled up the slide.,0
197,The child disobeyed her parents.,Her parents hugged her.,The child disobeyed her parents.,Her parents punished her.,1
198,My friend paid for my ticket.,I sought a refund.,My friend paid for my ticket.,I paid her back.,1
199,The jury was fair.,The woman was wrongly convicted for the crime.,She was framed.,The woman was wrongly convicted for the crime.,1
200,The girl applied the scissors to the paper.,The paper sliced apart.,The girl applied the scissors to the paper.,The paper crinkled.,0
201,She distrusted them.,The woman visited her family.,She missed them.,The woman visited her family.,1
202,I burst into a fit of laughter.,My teeth began to chatter.,I burst into a fit of laughter.,My eyes welled up with tears.,1
203,The school principal implemented a dress code.,Students protested the decision.,The school principal implemented a dress code.,Students were expelled from school.,0
204,I blew into it.,The balloon expanded.,I pricked it.,The balloon expanded.,0
205,I wanted to lighten the mood of the conversation.,I remained quiet.,I wanted to lighten the mood of the conversation.,I told a joke.,1
206,He got a hole in his sock.,The man broke his toe.,He dropped a hammer on his foot.,The man broke his toe.,1
207,The man had an attack of conscience.,He manipulated his friend.,The man had an attack of conscience.,He admitted his indiscretion.,1
208,A fistfight broke out in the hall of the school.,The principal suspended the students involved.,A fistfight broke out in the hall of the school.,The principal called off classes for the day.,0
209,They remained untouched for years.,The photo albums collected dust in the attic.,The family reminisced over the photos.,The photo albums collected dust in the attic.,0
210,Everyone in the room was talking.,I got distracted from my conversation with the woman.,The woman was telling a funny story.,I got distracted from my conversation with the woman.,0
211,I put coins in the washing machine at the laundromat.,The machine powered on.,I put coins in the washing machine at the laundromat.,I ran out of laundry detergent.,0
212,The forecast called for storms.,The family postponed the barbeque.,It was a holiday weekend.,The family postponed the barbeque.,0
213,It was inflated.,Air leaked out of the beach ball.,There was a hole in it.,Air leaked out of the beach ball.,1
214,Our group's conversation gradually lulled to silence.,I felt awkward.,Our group's conversation gradually lulled to silence.,I became enraged.,0
215,I clenched the candy wrapper in my fist.,The wrapper crinkled.,I clenched the candy wrapper in my fist.,The wrapper ripped.,0
216,The woman pressed down on the piano key.,A sound played.,The woman pressed down on the piano key.,The key got stuck.,0
217,The girl met her favorite actor.,She went to see his new film.,The girl met her favorite actor.,She asked him for his autograph.,1
218,It was cloudy.,The vehicles travelled slowly.,It was foggy.,The vehicles travelled slowly.,1
219,The chandelier dropped from the ceiling.,The chandelier shattered on the floor.,The chandelier's lights flickered on and off.,The chandelier shattered on the floor.,0
220,It scratched me.,The cat purred.,I petted it.,The cat purred.,1
221,The boy pushed his sister.,His sister tattled on him.,The boy pushed his sister.,They played hide and seek.,0
222,The man gained weight.,He got his suit altered.,The man gained weight.,He got his shoes shined.,0
223,The clouds looked dark.,I brought my laptop to work.,The clouds looked dark.,I brought my umbrella to work.,1
224,The engine of the airplane was faulty.,The airplane crashed.,The engine of the airplane was faulty.,The pilot made an error.,0
225,The traffic light turned green.,Cars moved to the shoulder of the road.,A screaming ambulance approached.,Cars moved to the shoulder of the road.,1
226,The bar was slippery.,The boy lost hold of the bar of soap.,The bar emitted a fragrance.,The boy lost hold of the bar of soap.,0
227,The button on my shirt fell off.,I sewed the button back on.,The button on my shirt fell off.,I glued the button back on.,0
228,She wanted to thank her fans.,The celebrity wore sunglasses.,She wanted to avoid recognition.,The celebrity wore sunglasses.,1
229,My grandmother passed away.,My family held a funeral.,My grandmother passed away.,My family held a reunion.,0
230,The police officer pulled over the celebrity.,The celebrity offered the officer a bribe.,The police officer pulled over the celebrity.,The celebrity sued the police officer.,0
231,The assailant struck the man in the head.,The man fell unconscious.,The assailant took the man's wallet.,The man fell unconscious.,0
232,He looked busy.,I approached the man.,He looked familiar.,I approached the man.,1
233,He fought poverty.,The leader received praise.,He raised taxes.,The leader received praise.,0
234,The man read the cartoon in the newspaper.,He sipped coffee.,The man read the cartoon in the newspaper.,He chuckled.,1
235,The lid on the mailbox broke.,My mailbox was overflowing with letters.,I went on vacation for two weeks.,My mailbox was overflowing with letters.,1
236,The bananas ripened.,We squeezed them.,The bananas ripened.,We ate them.,1
237,The chef pressed down on the dough.,The dough crumbled.,The chef pressed down on the dough.,The dough flattened.,1
238,The potter rolled the clay into a ball.,The clay hardened.,The potter put the clay in the oven.,The clay hardened.,1
239,I went hiking.,My feet were blistered.,I went swimming.,My feet were blistered.,0
240,The woman betrayed her friend.,Her friend sent her a greeting card.,The woman betrayed her friend.,Her friend cut off contact with her.,1
241,He caught a whiff of her perfume.,The man took notice of the woman.,He had his back turned to her.,The man took notice of the woman.,0
242,The woman and her boyfriend got into a fight.,They stopped seeing each other.,The woman and her boyfriend got into a fight.,They planned a vacation together.,0
243,The bully stuck his foot out in front of his classmate.,The bully picked up his classmate.,The bully stuck his foot out in front of his classmate.,The bully's classmate tripped.,1
244,The man wanted to get revenge on his enemy.,The man framed his enemy for a crime.,The man wanted to get revenge on his enemy.,The man declared a truce with his enemy.,0
245,I drank a cup of coffee.,My yawning ceased.,I drank a cup of coffee.,I nodded off to sleep.,0
246,The woman was close with her sister.,The woman was mistaken for her sister.,The woman looked like her sister.,The woman was mistaken for her sister.,1
247,He checked his work.,The man made an error in his calculations.,His work was hasty.,The man made an error in his calculations.,1
248,She reclined by the pool.,The woman's eyeglasses fogged up.,She entered the sauna.,The woman's eyeglasses fogged up.,1
249,The shopper wondered about the cost of the item.,He checked its price tag.,The shopper wondered about the cost of the item.,He decided to buy it.,0
250,The contestant was in the lead.,The host of the trivia show called on the contestant for an answer.,The contestant rang the buzzer.,The host of the trivia show called on the contestant for an answer.,1
251,He turned on his nightlight.,The boy was afraid to go to bed.,He watched a horror movie.,The boy was afraid to go to bed.,1
252,The woman wanted to be a doctor.,She visited the hospital.,The woman wanted to be a doctor.,She went to medical school.,1
253,The boy found the television show boring.,He recorded it.,The boy found the television show boring.,He shut it off.,1
254,My daughter suffered an allergy attack.,I encouraged her to take deep breaths.,My daughter suffered an allergy attack.,I took her to the emergency room.,1
255,The boy had trouble buttoning his shirt.,He refused to wear the shirt.,The boy had trouble buttoning his shirt.,He asked his mother for help.,1
256,I blew a bubble with the gum.,I spit out my chewing gum.,The gum lost its flavor.,I spit out my chewing gum.,1
257,The boy painted a picture for his mother.,His mother hung the picture on the wall.,The boy painted a picture for his mother.,His mother sold the picture to a gallery.,0
258,The competition ended.,The teams got pumped up.,The competition ended.,The teams shook hands.,1
259,She was a vegetarian.,The girl politely declined the hamburger.,She liked fast food.,The girl politely declined the hamburger.,0
260,I scrubbed the stain on the floor.,I got rid of the stain.,I scrubbed the stain on the floor.,I got dirt on the floor.,0
261,The documents contained important information.,I paper clipped them together.,The documents contained important information.,I kept them in a secure place.,1
262,I dropped it.,The egg splattered.,I boiled it.,The egg splattered.,0
263,The girl pushed her friend.,Her friend choked.,The girl pushed her friend.,Her friend fell over.,1
264,A group of teenagers crashed the party.,The host of the party kicked them out.,A group of teenagers crashed the party.,The host of the party invited them in.,0
265,He was sweaty from working out.,The man took a shower.,He opened a new bar of soap.,The man took a shower.,0
266,The book became a huge bestseller.,It was adapted into a movie.,The book became a huge bestseller.,The author faded into obscurity.,0
267,He was cured of cancer.,The man felt thankful to be alive.,His wife was diagnosed with cancer.,The man felt thankful to be alive.,0
268,She preferred paying by cash.,The woman wrote a check to the gas company.,She received her monthly bill.,The woman wrote a check to the gas company.,1
269,She made a lot of money in her current occupation.,The woman felt reluctant to switch careers.,She endured a lot of stress in her current occupation.,The woman felt reluctant to switch careers.,0
270,The man called her.,The woman filed a restraining order against the man.,The man stalked her.,The woman filed a restraining order against the man.,1
271,The ocean tide was dangerous.,The swimmers put on more sunscreen.,The ocean tide was dangerous.,The swimmers returned towards the shore.,1
272,She was the designated driver for the night.,The woman refused a second beer.,She was familiar with the bartender.,The woman refused a second beer.,0
273,I climbed several flights of stairs.,I ran out of breath.,I read several chapters of the book.,I ran out of breath.,0
