,cause_0,effect_0,cause_1,effect_1,label
35,The woman's ring got dirty.,The ring went down the drain.,The woman's ring got dirty.,The woman polished the ring.,1
36,She won a spelling bee.,The girl received a trophy.,She made a new friend.,The girl received a trophy.,0
37,She made a new friend.,The girl was not lonely anymore.,She won a spelling bee.,The girl was not lonely anymore.,0
38,The woman's date wanted to look like a gentleman.,He opened the door for her.,The woman's date wanted to look like a gentleman.,He asked her if she liked sushi.,0
39,The woman's date wanted to have Japanese cuisine.,He asked her if she liked sushi.,The woman's date wanted to have Japanese cuisine.,He opened the door for her.,0
40,She worried she would catch the flu.,The host cancelled the party.,She was certain she had the flu.,The host cancelled the party.,1
41,She was certain she had the flu.,The woman got vaccinated.,She worried she would catch the flu.,The woman got vaccinated.,1
42,She was attracted to him.,The woman gave the man her phone number.,She was repulsed by him.,The woman gave the man her phone number.,0
43,She was attracted to him.,The woman ignored the man.,She was repulsed by him.,The woman ignored the man.,1
44,She opened her parachute.,The skydiver glided safely to the ground.,She jumped out of the plane.,The skydiver glided safely to the ground.,0
45,She opened her parachute.,The skydiver started to fall down.,She jumped out of the plane.,The skydiver started to fall down.,1
46,The toddler became cranky.,Her mother fixed her hair into pigtails.,The toddler became cranky.,Her mother put her down for a nap.,1
47,The toddler joined a baby pageant.,Her mother fixed her hair into pigtails.,The toddler joined a baby pageant.,Her mother put her down for a nap.,0
48,The grape juice fermented.,The juice evaporated.,The grape juice fermented.,The juice turned to wine.,1
49,The grape juice was boiled.,The juice evaporated.,The grape juice was boiled.,The juice turned to wine.,0
50,The friends were splitting hairs.,The friends' debate dragged on interminably.,The friends saw eye to eye.,The friends' debate dragged on interminably.,0
51,The friends saw eye to eye.,The friends did not have a debate.,The friends were splitting hairs.,The friends did not have a debate.,0
52,She was nervous.,The woman hummed to herself.,She was in a good mood.,The woman hummed to herself.,1
53,She was in a good mood.,The woman trembled.,She was nervous.,The woman trembled.,1
54,The police aimed their weapons at the fugitive.,The fugitive fell to the ground.,The police aimed their weapons at the fugitive.,The fugitive dropped his gun.,1
55,The police shot the fugitive.,The fugitive fell to the ground.,The police shot the fugitive.,The fugitive dropped his gun.,0
56,The patient was dehydrated.,The nurse gave him an IV.,The patient was dehydrated.,The nurse tested his reflexes.,0
57,The patient said his leg felt numb.,The nurse tested his reflexes.,The patient said his leg felt numb.,The nurse gave him an IV.,0
58,The girl found the missing puzzle piece.,She took apart the puzzle.,The girl found the missing puzzle piece.,She completed the puzzle.,1
59,The girl was angry.,She took apart the puzzle.,The girl was angry.,She completed the puzzle.,0
60,He wanted to iron his pants before work.,The man urgently leaped out of bed.,He wanted to shut off the alarm clock.,The man urgently leaped out of bed.,1
61,He wanted to shut off the alarm clock.,The man got up earlier.,He wanted to iron his pants before work.,The man got up earlier.,1
62,The papers were disorganized.,I made photocopies of them.,The papers were disorganized.,I put them into alphabetical order.,1
63,The papers were important.,I put them into alphabetical order.,The papers were important.,I made photocopies of them.,1
64,The woman won the lottery.,She bought a yacht.,The woman won the lottery.,She joined a church.,0
65,The woman felt guilty.,She joined a church.,The woman felt guilty.,She bought a yacht.,0
66,The seamstress pushed the threaded needle into the fabric.,The thread went through the fabric.,The seamstress pushed the threaded needle into the fabric.,The thread wrapped around the needle.,0
67,The seamstress guided the thread through the eye of the needle.,The thread went through the fabric.,The seamstress guided the thread through the eye of the needle.,The thread wrapped around the needle.,1
68,She decided to run for office.,The woman hired a lawyer.,She decided to sue her employer.,The woman hired a lawyer.,1
69,She decided to run for office.,The woman hired a public relations consultant.,She decided to sue her employer.,The woman hired a public relations consultant.,0
70,My favorite song came on the radio.,I covered my ears.,My favorite song came on the radio.,I sang along to it.,1
71,An awful song came on the radio.,I covered my ears.,An awful song came on the radio.,I sang along to it.,0
72,The applicant had experience for the job.,The executive decided not to hire the applicant.,The applicant failed a background check.,The executive decided not to hire the applicant.,1
73,The applicant failed a background check.,The executive decided to hire the applicant.,The applicant had experience for the job.,The executive decided to hire the applicant.,1
74,The man's eye became infected.,He went blind.,The man's eye became infected.,He put on glasses.,0
75,The man had bad eyesight.,He put on glasses.,The man had bad eyesight.,He went blind.,0
76,She saw a black cat.,The girl made a wish.,She saw a shooting star.,The girl made a wish.,1
77,She saw a black cat.,The girl had bad luck.,She saw a shooting star.,The girl had bad luck.,0
78,The woman shivered as she got out the pool.,She wrapped herself in a towel.,The woman shivered as she got out the pool.,She poured herself some lemonade.,0
79,The woman was thirsty after she jogged.,She poured herself some lemonade.,The woman was thirsty after she jogged.,She wrapped herself in a towel.,0
80,The nurse prepared the needle for the patient's injection.,The patient tensed up.,The nurse prepared the needle for the patient's injection.,The patient bled.,0
81,The nurse made a mistake during the patient's injection.,The patient bled.,The nurse made a mistake during the patient's injection.,The patient tensed up.,0
82,It was fresh.,The man threw out the bread.,It was stale.,The man threw out the bread.,1
83,It was stale.,The man liked the bread.,It was fresh.,The man liked the bread.,1
84,They had a pillow fight.,The children knocked over a lamp.,They jumped on the bed.,The children knocked over a lamp.,0
85,They jumped on the bed.,The children bumped their heads on the ceiling.,They had a pillow fight.,The children bumped their heads on the ceiling.,0
86,I was thirsty.,I drank from the water fountain.,I felt nauseous.,I drank from the water fountain.,0
87,I was thirsty.,I went to the toilet.,I felt nauseous.,I went to the toilet.,1
88,The bodybuilder lifted weights.,The gym closed.,The bodybuilder lifted weights.,Her muscles became fatigued.,1
89,Bodybuilding fell out of fashion.,Her muscles became fatigued.,Bodybuilding fell out of fashion.,The gym closed.,1
90,The cook stirred the ingredients in the bowl.,The ingredients blended together.,The cook stirred the ingredients in the bowl.,The ingredients melted.,0
91,The cook boiled the ingredients in the bowl.,The ingredients melted.,The cook boiled the ingredients in the bowl.,The ingredients blended together.,0
92,The man signed the document.,The transaction was voided.,The man signed the document.,The transaction became official.,1
93,The man returned the document.,The transaction was voided.,The man returned the document.,The transaction became official.,0
94,The police officer dropped the gun.,The gun went off.,The police officer dropped the gun.,The gun recoiled.,0
95,The police officer shot the gun.,The gun went off.,The police officer shot the gun.,The gun recoiled.,1
96,The woman felt compelled to help someone in need.,She donated blood.,The woman felt compelled to help someone in need.,She wrote a poem.,0
97,The woman felt compelled to express herself.,She donated blood.,The woman felt compelled to express herself.,She wrote a poem.,1
98,The woman felt lonely.,She renovated her kitchen.,The woman felt lonely.,She adopted a cat.,1
99,The woman felt creative.,She renovated her kitchen.,The woman felt creative.,She adopted a cat.,0
100,I rubbed sandpaper on the wood.,The wood became smooth.,I rubbed sandpaper on the wood.,The wood became sticky.,0
101,I spilled glue on the wood.,The wood became sticky.,I spilled glue on the wood.,The wood became smooth.,0
102,The crowd gave the band a standing ovation.,The band reappeared on the stage.,The crowd gave the band a standing ovation.,The band signed autographs.,0
103,The crowd waited for the rock band at the airport.,The band signed autographs.,The crowd waited for the rock band at the airport.,The band reappeared on the stage.,0
104,The man threw his empty can onto the street.,He was fined for littering.,The man threw his empty can onto the street.,He was jumped from behind.,0
105,The man walked alone on the street.,He was fined for littering.,The man walked alone on the street.,He was jumped from behind.,1
106,I was full from breakfast.,My stomach growled.,I forgot to eat breakfast.,My stomach growled.,1
107,I was full from breakfast.,My stomach was heavy.,I forgot to eat breakfast.,My stomach was heavy.,0
108,The boaters set off a flare.,Their boat drifted to shore.,The boaters set off a flare.,Their boat was rescued.,1
109,The boaters caught a nice current.,Their boat drifted to shore.,The boaters caught a nice current.,Their boat was rescued.,0
110,He entered the house.,The man removed his coat.,He loosened his tie.,The man removed his coat.,0
111,He loosened his tie.,The man could breathe better.,He entered the house.,The man could breathe better.,0
112,The dog injured his paw.,The family took their dog to the veterinarian.,The dog chewed on a bone.,The family took their dog to the veterinarian.,0
113,The dog injured his paw.,The dog broke his teeth.,The dog chewed on a bone.,The dog broke his teeth.,1
114,The woman dangled the biscuit above the dog.,The dog jumped up.,The woman dangled the biscuit above the dog.,The dog scratched its fur.,0
115,The dog had lice.,The dog jumped up.,The dog had lice.,The dog scratched its fur.,1
116,My friend got the rules wrong.,I learned how to play the board game.,My friend explained the rules to me.,I learned how to play the board game.,1
117,My friend explained the rules to me.,The board game ended in a disaster.,My friend got the rules wrong.,The board game ended in a disaster.,1
118,He wanted to relax.,The man went away for the weekend.,He felt content.,The man went away for the weekend.,0
119,He felt content.,The man did not need to buy more things.,He wanted to relax.,The man did not need to buy more things.,0
120,The shop was undergoing renovation.,The shop was closed.,The owner was helping customers.,The shop was closed.,0
121,The shop was undergoing renovation.,The shop was very popular.,The owner was helping customers.,The shop was very popular.,1
122,The station was playing rock music.,The boy tuned the radio.,The station was coming in with static.,The boy tuned the radio.,1
123,The station was playing rock music.,The boy listened to the radio.,The station was coming in with static.,The boy listened to the radio.,0
124,The terrorist set off the bomb.,The bomb was deactivated.,The terrorist set off the bomb.,The bomb exploded.,1
125,The police found the bomb.,The bomb was deactivated.,The police found the bomb.,The bomb exploded.,0
126,The authorities vowed to protect the identity of the crime victim.,The victim struggled to recall details about the crime.,The authorities vowed to protect the identity of the crime victim.,They withheld the victim's name from the public.,1
127,The authorities brought on the case many years later.,They withheld the victim's name from the public.,The authorities brought on the case many years later.,The victim struggled to recall details about the crime.,1
128,He bought them on sale.,The man's clothes fit loosely.,He lost weight.,The man's clothes fit loosely.,1
129,He lost weight.,The man's clothes were cheap.,He bought them on sale.,The man's clothes were cheap.,1
130,The clock stopped ticking.,I took extra time to get ready.,The clock stopped ticking.,The clock showed the wrong time.,1
131,The time was earlier than I thought.,The clock showed the wrong time.,The time was earlier than I thought.,I took extra time to get ready.,1
132,He got out of the car.,The man closed the umbrella.,He approached the building.,The man closed the umbrella.,1
133,He approached the building.,The man opened the umbrella.,He got out of the car.,The man opened the umbrella.,1
134,The man dropped food on the floor.,His dog ran over to eat the food.,The man dropped food on the floor.,His dog jumped up on him.,0
135,The man had a cookie in his hand.,His dog ran over to eat the food.,The man had a cookie in his hand.,His dog jumped up on him.,1
136,The girl was angry with her friend.,The girl told a secret to her friend.,The girl was angry with her friend.,The girl spread a rumor about her friend.,1
137,The girl trusted her friend.,The girl told a secret to her friend.,The girl trusted her friend.,The girl spread a rumor about her friend.,0
138,The fugitive hid from the police.,The fugitive remained at large.,The fugitive hid from the police.,The police dropped the case.,0
139,The fugitive was shot by the police.,The police dropped the case.,The fugitive was shot by the police.,The fugitive remained at large.,0
140,I tipped the bottle.,The liquid in the bottle poured out.,I tipped the bottle.,The liquid in the bottle froze.,0
141,I put the bottle into a freezer.,The liquid in the bottle froze.,I put the bottle into a freezer.,The liquid in the bottle poured out.,0
142,She came from a wealthy family.,The woman spoke with a foreign accent.,She migrated from another country.,The woman spoke with a foreign accent.,1
143,She came from a wealthy family.,The woman was rich.,She migrated from another country.,The woman was rich.,0
144,He blew out the candle.,The boy's mouth stung.,He ate a pepper.,The boy's mouth stung.,1
145,He blew out the candle.,Smoke got in the boy's eyes.,He ate a pepper.,Smoke got in the boy's eyes.,0
146,I finished a page of the book.,I turned to the next page.,I finished a page of the book.,I ripped out the next page.,0
147,I got angry while reading the book.,I ripped out the next page.,I got angry while reading the book.,I turned to the next page.,0
148,The restaurant was crowded.,The service at the restaurant was slow.,There were many empty tables.,The service at the restaurant was slow.,0
149,There were many empty tables.,The service at the restaurant was quick.,The restaurant was crowded.,The service at the restaurant was quick.,0
150,I saw a woman getting robbed on the street.,I called 911.,I saw a woman getting robbed on the street.,I hailed a cab.,0
151,I was late for the meeting.,I hailed a cab.,I was late for the meeting.,I called 911.,0
152,I ate birthday cake.,My stomach hurt.,I jogged on the treadmill.,My stomach hurt.,0
153,I jogged on the treadmill.,My feet hurt.,I ate birthday cake.,My feet hurt.,0
154,I finished eating.,I put my plate in the sink.,I skipped dinner.,I put my plate in the sink.,0
155,I finished eating.,I didn't have to do the dishes.,I skipped dinner.,I didn't have to do the dishes.,1
156,It provoked him to think.,The man closed the book.,He finished reading it.,The man closed the book.,1
157,He finished reading it.,The man liked the book.,It provoked him to think.,The man liked the book.,1
158,His grandfather was deaf.,The boy read the novel aloud to his grandfather.,His grandfather was blind.,The boy read the novel aloud to his grandfather.,1
159,His grandfather was deaf.,The boy communicated with his grandfather by writing.,His grandfather was blind.,The boy communicated with his grandfather by writing.,0
160,My foot went numb.,I shook my foot.,My foot went numb.,I put my shoes on.,0
161,The sand at the beach was too hot.,I put my shoes on.,The sand at the beach was too hot.,I shook my foot.,0
162,The photographer got the child to smile.,The photographer quickly snapped the child's photo.,The photographer got the child to smile.,The photographer quickly changed the child's pose.,0
163,The photographer could not see the child's face.,The photographer quickly changed the child's pose.,The photographer could not see the child's face.,The photographer quickly snapped the child's photo.,0
164,The tile was cracked.,I slipped on the floor.,The tile was wet.,I slipped on the floor.,1
165,The tile was cracked.,I cut my foot on the floor.,The tile was wet.,I cut my foot on the floor.,0
166,The man slid the razor across his chin.,His stubble grew.,The man slid the razor across his chin.,His stubble disappeared.,1
167,The man did not shave.,His stubble disappeared.,The man did not shave.,His stubble grew.,1
168,Her husband got laid off.,The woman took her family on vacation.,She received a salary bonus.,The woman took her family on vacation.,1
169,She received a salary bonus.,The woman looked for a job.,Her husband got laid off.,The woman looked for a job.,1
170,She took sleeping pills.,The woman awakened.,Her husband was snoring.,The woman awakened.,1
171,Her husband was snoring.,The woman did not wake up.,She took sleeping pills.,The woman did not wake up.,1
172,The woman sensed a pleasant smell.,She remembered to take her medication.,The woman sensed a pleasant smell.,She was reminded of her childhood.,1
173,The woman felt dizzy.,She was reminded of her childhood.,The woman felt dizzy.,She remembered to take her medication.,1
174,It was 3 AM.,The bar closed.,It was crowded.,The bar closed.,0
175,It was crowded.,There was nowhere to sit in the bar.,It was 3 AM.,There was nowhere to sit in the bar.,0
176,The teacher took roll.,She identified the students that were absent.,The teacher took roll.,She gave her students a pop quiz.,0
177,The teacher wanted to grade the students.,She gave her students a pop quiz.,The teacher wanted to grade the students.,She identified the students that were absent.,0
178,I pushed the pendulum.,It swung back and forth.,I pushed the pendulum.,It slowed to a stop.,0
179,I blocked the pendulum.,It swung back and forth.,I blocked the pendulum.,It slowed to a stop.,1
180,The child kicked the stack of blocks.,The stack towered over the boy's head.,The child kicked the stack of blocks.,The blocks scattered all over the rug.,1
181,The child punched the stack of blocks.,The stack towered over the boy's head.,The child punched the stack of blocks.,The blocks scattered all over the rug.,0
182,He relied on his parents.,The teenager ran away from home.,His parents abused him.,The teenager ran away from home.,1
183,He relied on his parents.,The teenager always stayed home.,His parents abused him.,The teenager always stayed home.,0
184,I anticipated the interviewer's questions.,I botched the job interview.,The interviewer asked difficult questions.,I botched the job interview.,1
185,I anticipated the interviewer's questions.,I passed the job interview.,The interviewer asked difficult questions.,I passed the job interview.,0
186,Users got refills on their prescriptions.,The pharmaceutical company recalled the drug.,Users reported dangerous side effects.,The pharmaceutical company recalled the drug.,1
187,Users got refills on their prescriptions.,The pharmaceutical company promoted the drug.,Users reported dangerous side effects.,The pharmaceutical company promoted the drug.,0
188,The man looked at his watch.,He realized he was early.,The man looked at his watch.,He realized he forgot something.,0
189,The man looked at his list.,He realized he was early.,The man looked at his list.,He realized he forgot something.,1
190,The floor was permanently stained.,I dabbed the floor with a paper towel.,I spilled juice on the floor.,I dabbed the floor with a paper towel.,1
191,I spilled juice on the floor.,I replaced the floor with brand new tile.,The floor was permanently stained.,I replaced the floor with brand new tile.,1
192,The patron was alone.,The bartender refused to serve the patron.,The patron was drunk.,The bartender refused to serve the patron.,1
193,The patron was drunk.,The bartender accompanied the patron.,The patron was alone.,The bartender accompanied the patron.,1
194,I was confused by the professor's lecture.,I asked the professor questions.,I was confused by the professor's lecture.,I paid attention to the professor.,0
195,I was interested in the professor's lecture.,I paid attention to the professor.,I was interested in the professor's lecture.,I asked the professor questions.,0
196,The book was deemed inappropriate for children.,Schools banned it from its libraries.,The book was deemed inappropriate for children.,Teachers required students to read it.,0
197,The book was deemed appropriate for children.,Teachers required students to read it.,The book was deemed appropriate for children.,Schools banned it from its libraries.,0
198,The man begged for forgiveness.,The woman joked around with him.,The man begged for forgiveness.,The woman took pity on him.,1
199,The man laughed at comedy.,The woman joked around with him.,The man laughed at comedy.,The woman took pity on him.,0
200,I received a package in the mail.,I took the package to the post office.,I received a package in the mail.,The package triggered my curiosity.,1
201,I received someone's package in the mail.,I took the package to the post office.,I received someone's package in the mail.,The package triggered my curiosity.,0
202,The speaker disarmed her debate opponent.,The speaker congratulated her opponent.,The speaker disarmed her debate opponent.,The speaker won the debate.,1
203,The speaker was defeated by her debate opponent.,The speaker won the debate.,The speaker was defeated by her debate opponent.,The speaker congratulated her opponent.,1
204,My son was born.,I moved to a new city.,I found a better-paying job.,I moved to a new city.,1
205,My son was born.,I was moved.,I found a better-paying job.,I was moved.,0
206,The question made me uncomfortable.,I avoided giving a straight answer to the question.,I wanted to be honest.,I avoided giving a straight answer to the question.,0
207,The question made me uncomfortable.,I promised to give a straight answer to the question.,I wanted to be honest.,I promised to give a straight answer to the question.,1
208,He talked back to the teacher.,The student received detention.,The teacher graded his homework.,The student received detention.,0
209,He talked back to the teacher.,The student learned most mistakes.,The teacher graded his homework.,The student learned most mistakes.,1
210,He planned to ask the girl out.,The boy's hands were shaking.,His palms were cold and sweaty.,The boy's hands were shaking.,0
211,He planned to ask the girl out.,The boy's friends were scared.,His palms were cold and sweaty.,The boy's friends were scared.,1
212,The game ended in a tie.,The fans in the stadium cheered.,The player scored.,The fans in the stadium cheered.,1
213,The player scored.,The fans in the stadium were apathetic.,The game ended in a tie.,The fans in the stadium were apathetic.,1
214,The girl went down the hill on her bike.,Her bike swerved.,The girl went down the hill on her bike.,Her bike sped up.,1
215,The girl turned down the hill on her bike.,Her bike sped up.,The girl turned down the hill on her bike.,Her bike swerved.,1
216,A man cut in front of me in the long line.,I confronted him.,A man cut in front of me in the long line.,I smiled at him.,0
217,A man let me in front of the long line.,I confronted him.,A man let me in front of the long line.,I smiled at him.,1
218,The train travelled through a tunnel.,The inside of the train went dark.,The train ran off the tracks.,The inside of the train went dark.,0
219,The train ran off the tracks.,The inside of the train became destroyed.,The train travelled through a tunnel.,The inside of the train became destroyed.,0
220,It detected a predator.,The turtle hid in its shell.,It ate a fish.,The turtle hid in its shell.,0
221,It detected a predator.,The turtle felt tired.,It ate a fish.,The turtle felt tired.,1
222,She outgrew the clothes.,The girl handed down her clothes to her younger sister.,The clothes were tattered.,The girl handed down her clothes to her younger sister.,0
223,The clothes were tattered.,The girl threw her clothes away.,She outgrew the clothes.,The girl threw her clothes away.,0
224,Several witnesses of the crime testified against the suspect.,The suspect was acquitted.,Several witnesses of the crime testified against the suspect.,The suspect was convicted.,1
225,No witnesses of the crime testified against the suspect.,The suspect was convicted.,No witnesses of the crime testified against the suspect.,The suspect was acquitted.,1
226,They made plans to celebrate their anniversary.,The parents left their children with a babysitter.,Their youngest child started attending preschool.,The parents left their children with a babysitter.,0
227,They made plans to celebrate their anniversary.,The parents left their children with a teacher.,Their youngest child started attending preschool.,The parents left their children with a teacher.,1
228,The product was heavily advertised.,The product became outdated.,The product was heavily advertised.,Consumers recognized the product.,1
229,The producted was replaced.,The product became outdated.,The producted was replaced.,Consumers recognized the product.,0
230,The cowgirl threw her lasso towards the horse.,The lasso grabbed onto the horse.,The cowgirl threw her lasso towards the horse.,The horse trotted into the barn.,0
231,The cowgirl missed her lasso towards the horse.,The horse trotted into the barn.,The cowgirl missed her lasso towards the horse.,The lasso grabbed onto the horse.,0
232,The group overlooked the woman's faux pas.,The woman apologized.,The group overlooked the woman's faux pas.,The woman was relieved.,1
233,The group was offended by the woman's faux pas.,The woman apologized.,The group was offended by the woman's faux pas.,The woman was relieved.,0
234,The girl came across an unfamiliar word in her textbook.,She looked the term up in the dictionary.,The girl came across an unfamiliar word in her textbook.,She chucked the textbook across the room.,0
235,The girl came across an offensive word in her textbook.,She chucked the textbook across the room.,The girl came across an offensive word in her textbook.,She looked the term up in the dictionary.,0
236,The man became disabled.,His family cut off contact with him.,The man became disabled.,His family offered him financial support.,1
237,The man became offensive.,His family offered him financial support.,The man became offensive.,His family cut off contact with him.,1
238,The flashlight was dead.,I took it apart.,The flashlight was dead.,I replaced the batteries.,1
239,The flashlight was broken.,I replaced the batteries.,The flashlight was broken.,I took it apart.,1
240,The skunk sprayed the dog.,The dog emitted a foul smell.,The skunk sprayed the dog.,The skunk roamed the woods.,0
241,The skunk became hungry.,The skunk roamed the woods.,The skunk became hungry.,The dog emitted a foul smell.,0
242,I scratched my skin.,My itch went away.,I scratched my skin.,My scar faded.,0
243,I cleaned my skin.,My scar faded.,I cleaned my skin.,My itch went away.,0
244,She sent me a gift.,I wrote a thank-you note to my grandmother.,She became forgetful.,I wrote a thank-you note to my grandmother.,0
245,She sent me a gift.,I wrote a reminder note to my grandmother.,She became forgetful.,I wrote a reminder note to my grandmother.,1
246,I held the door for the woman entering behind me.,The woman thanked me.,I held the door for the woman entering behind me.,The door slammed shut.,0
247,The woman behind me left the door open.,The woman thanked me.,The woman behind me left the door open.,The door slammed shut.,1
248,The mirror in the bathroom fogged up.,The girl applied her makeup.,The mirror in the bathroom fogged up.,The girl turned on the fan.,1
249,The mirror in the bathroom cleared up.,The girl turned on the fan.,The mirror in the bathroom cleared up.,The girl applied her makeup.,1
250,The driver rotated the steering wheel.,The car turned.,The driver rotated the steering wheel.,The car halted.,0
251,The drived pressed on the brakes.,The car halted.,The drived pressed on the brakes.,The car turned.,0
252,The navy bombed the ship.,The ship crashed into the pier.,The navy bombed the ship.,The ship's debris sunk in the sea.,1
253,The captain passed out.,The ship's debris sunk in the sea.,The captain passed out.,The ship crashed into the pier.,1
254,The girl felt dizzy.,She did stretches.,The girl felt dizzy.,She lost her balance.,1
255,The girl wanted to exercise.,She lost her balance.,The girl wanted to exercise.,She did stretches.,1
256,He noticed a stranded vehicle.,The driver pulled over to the side of the road.,He went through an intersection.,The driver pulled over to the side of the road.,0
257,He noticed a stranded vehicle.,The driver crashed over to the side of the road.,He went through an intersection.,The driver crashed over to the side of the road.,1
258,The patient's symptoms cleared up.,The hospital sent the patient home.,The patient's family visited him.,The hospital sent the patient home.,0
259,The patient's family visited him.,The patient felt happy.,The patient's symptoms cleared up.,The patient felt happy.,0
260,She didn't get vaccinated.,The child caught a life-threatening illness.,She was adopted.,The child caught a life-threatening illness.,0
261,She was adopted.,The child did not know her parents.,She didn't get vaccinated.,The child did not know her parents.,0
262,We found empty seats in the theatre.,We sat down.,We found empty seats in the theatre.,The film began.,0
263,The opening credits finished playing.,The film began.,The opening credits finished playing.,We sat down.,0
264,The parents recognized their daughter's creativity.,They encouraged her to become an artist.,The parents recognized their daughter's creativity.,They taught her how to ride a bike.,0
265,The parents recognized their daughter's interest in sports.,They encouraged her to become an artist.,The parents recognized their daughter's interest in sports.,They taught her how to ride a bike.,1
266,The boy turned the lid on the jar.,The jar became warm.,The boy turned the lid on the jar.,The lid came off.,1
267,The boy rubbed the side of the jar.,The lid came off.,The boy rubbed the side of the jar.,The jar became warm.,1
268,She enrolled in college.,The woman received a diploma.,She graduated from college.,The woman received a diploma.,1
269,She enrolled in college.,The woman aimed for a diploma.,She graduated from college.,The woman aimed for a diploma.,0
270,I ran five miles.,I chugged the pitcher of water.,I walked upstairs.,I chugged the pitcher of water.,0
271,I walked upstairs.,I reached the top of the building.,I ran five miles.,I reached the top of the building.,0
272,I came upon a puddle on the sidewalk.,I leapt over the puddle.,I came upon a puddle on the sidewalk.,I played in the puddle.,0
273,The puddle on the sidewalk looked fun.,I leapt over the puddle.,The puddle on the sidewalk looked fun.,I played in the puddle.,1
274,The archeologist dug up the site.,She read about the site's history.,The archeologist dug up the site.,She excavated ancient artifacts.,1
275,The archelogist discovered the site.,She read about the site's history.,The archelogist discovered the site.,She excavated ancient artifacts.,0
276,He entertained the audience.,The audience booed the comedian off the stage.,He told a racist joke.,The audience booed the comedian off the stage.,1
277,He entertained the audience.,The audience applauded the comedian on stage.,He told a racist joke.,The audience applauded the comedian on stage.,0
278,The player got a penalty.,The coach gave his player a high five.,The player scored a point.,The coach gave his player a high five.,1
279,The player got a penalty.,The coach gave his player a headshake.,The player scored a point.,The coach gave his player a headshake.,0
