Unnamed: 0,cause_0,effect_0,cause_1,effect_1,label
19,He opened the door for her.,The woman's date wanted to look like a gentleman.,He asked her if she liked sushi.,The woman's date wanted to look like a gentleman.,0
20,The host cancelled the party.,She was certain she had the flu.,The host cancelled the party.,She worried she would catch the flu.,0
21,The woman gave the man her phone number.,She was attracted to him.,The woman gave the man her phone number.,She was repulsed by him.,0
22,The skydiver glided safely to the ground.,She opened her parachute.,The skydiver glided safely to the ground.,She jumped out of the plane.,0
23,Her mother put her down for a nap.,The toddler became cranky.,Her mother fixed her hair into pigtails.,The toddler became cranky.,0
24,The juice turned to wine.,The grape juice fermented.,The juice evaporated.,The grape juice fermented.,0
25,The friends' debate dragged on interminably.,The friends saw eye to eye.,The friends' debate dragged on interminably.,The friends were splitting hairs.,1
26,The woman hummed to herself.,She was nervous.,The woman hummed to herself.,She was in a good mood.,1
27,The fugitive fell to the ground.,The police aimed their weapons at the fugitive.,The fugitive dropped his gun.,The police aimed their weapons at the fugitive.,1
28,The nurse tested his reflexes.,The patient was dehydrated.,The nurse gave him an IV.,The patient was dehydrated.,1
29,She completed the puzzle.,The girl found the missing puzzle piece.,She took apart the puzzle.,The girl found the missing puzzle piece.,0
30,The man urgently leaped out of bed.,He wanted to shut off the alarm clock.,The man urgently leaped out of bed.,He wanted to iron his pants before work.,0
31,I made photocopies of them.,The papers were disorganized.,I put them into alphabetical order.,The papers were disorganized.,1
32,She bought a yacht.,The woman won the lottery.,She joined a church.,The woman won the lottery.,0
33,The thread wrapped around the needle.,The seamstress pushed the threaded needle into the fabric.,The thread went through the fabric.,The seamstress pushed the threaded needle into the fabric.,1
34,The woman hired a lawyer.,She decided to sue her employer.,The woman hired a lawyer.,She decided to run for office.,0
35,I covered my ears.,My favorite song came on the radio.,I sang along to it.,My favorite song came on the radio.,1
36,The executive decided not to hire the applicant.,The applicant failed a background check.,The executive decided not to hire the applicant.,The applicant had experience for the job.,0
37,He went blind.,The man's eye became infected.,He put on glasses.,The man's eye became infected.,0
38,The girl made a wish.,She saw a black cat.,The girl made a wish.,She saw a shooting star.,1
39,She wrapped herself in a towel.,The woman shivered as she got out the pool.,She poured herself some lemonade.,The woman shivered as she got out the pool.,0
40,The patient bled.,The nurse prepared the needle for the patient's injection.,The patient tensed up.,The nurse prepared the needle for the patient's injection.,1
41,The man threw out the bread.,It was fresh.,The man threw out the bread.,It was stale.,1
42,The children knocked over a lamp.,They had a pillow fight.,The children knocked over a lamp.,They jumped on the bed.,0
43,I drank from the water fountain.,I was thirsty.,I drank from the water fountain.,I felt nauseous.,0
44,The gym closed.,The bodybuilder lifted weights.,Her muscles became fatigued.,The bodybuilder lifted weights.,1
45,The ingredients melted.,The cook stirred the ingredients in the bowl.,The ingredients blended together.,The cook stirred the ingredients in the bowl.,1
46,The transaction was voided.,The man signed the document.,The transaction became official.,The man signed the document.,1
47,The gun recoiled.,The police officer dropped the gun.,The gun went off.,The police officer dropped the gun.,1
48,She donated blood.,The woman felt compelled to help someone in need.,She wrote a poem.,The woman felt compelled to help someone in need.,0
49,She renovated her kitchen.,The woman felt lonely.,She adopted a cat.,The woman felt lonely.,1
50,The wood became smooth.,I rubbed sandpaper on the wood.,The wood became sticky.,I rubbed sandpaper on the wood.,0
51,The band signed autographs.,The crowd gave the band a standing ovation.,The band reappeared on the stage.,The crowd gave the band a standing ovation.,1
52,He was jumped from behind.,The man threw his empty can onto the street.,He was fined for littering.,The man threw his empty can onto the street.,1
53,My stomach growled.,I forgot to eat breakfast.,My stomach growled.,I was full from breakfast.,0
54,Their boat drifted to shore.,The boaters set off a flare.,Their boat was rescued.,The boaters set off a flare.,1
55,The man removed his coat.,He entered the house.,The man removed his coat.,He loosened his tie.,0
56,The family took their dog to the veterinarian.,The dog chewed on a bone.,The family took their dog to the veterinarian.,The dog injured his paw.,1
57,The dog jumped up.,The woman dangled the biscuit above the dog.,The dog scratched its fur.,The woman dangled the biscuit above the dog.,0
58,I learned how to play the board game.,My friend explained the rules to me.,I learned how to play the board game.,My friend got the rules wrong.,0
59,The man went away for the weekend.,He wanted to relax.,The man went away for the weekend.,He felt content.,0
60,The shop was closed.,The owner was helping customers.,The shop was closed.,The shop was undergoing renovation.,1
61,The boy tuned the radio.,The station was playing rock music.,The boy tuned the radio.,The station was coming in with static.,1
62,The bomb exploded.,The terrorist set off the bomb.,The bomb was deactivated.,The terrorist set off the bomb.,0
63,The victim struggled to recall details about the crime.,The authorities vowed to protect the identity of the crime victim.,They withheld the victim's name from the public.,The authorities vowed to protect the identity of the crime victim.,1
64,The man's clothes fit loosely.,He bought them on sale.,The man's clothes fit loosely.,He lost weight.,1
65,I took extra time to get ready.,The clock stopped ticking.,The clock showed the wrong time.,The clock stopped ticking.,1
66,The man closed the umbrella.,He got out of the car.,The man closed the umbrella.,He approached the building.,1
67,His dog jumped up on him.,The man dropped food on the floor.,His dog ran over to eat the food.,The man dropped food on the floor.,1
68,The girl spread a rumor about her friend.,The girl was angry with her friend.,The girl told a secret to her friend.,The girl was angry with her friend.,0
69,The police dropped the case.,The fugitive hid from the police.,The fugitive remained at large.,The fugitive hid from the police.,1
70,The liquid in the bottle froze.,I tipped the bottle.,The liquid in the bottle poured out.,I tipped the bottle.,1
71,The woman spoke with a foreign accent.,She came from a wealthy family.,The woman spoke with a foreign accent.,She migrated from another country.,1
72,The boy's mouth stung.,He ate a pepper.,The boy's mouth stung.,He blew out the candle.,0
73,I ripped out the next page.,I finished a page of the book.,I turned to the next page.,I finished a page of the book.,1
74,The service at the restaurant was slow.,There were many empty tables.,The service at the restaurant was slow.,The restaurant was crowded.,1
75,I called 911.,I saw a woman getting robbed on the street.,I hailed a cab.,I saw a woman getting robbed on the street.,0
76,My stomach hurt.,I jogged on the treadmill.,My stomach hurt.,I ate birthday cake.,1
77,I put my plate in the sink.,I finished eating.,I put my plate in the sink.,I skipped dinner.,0
78,The man closed the book.,He finished reading it.,The man closed the book.,It provoked him to think.,0
79,The boy read the novel aloud to his grandfather.,His grandfather was deaf.,The boy read the novel aloud to his grandfather.,His grandfather was blind.,1
80,I put my shoes on.,My foot went numb.,I shook my foot.,My foot went numb.,1
81,The photographer quickly snapped the child's photo.,The photographer got the child to smile.,The photographer quickly changed the child's pose.,The photographer got the child to smile.,0
82,I slipped on the floor.,The tile was wet.,I slipped on the floor.,The tile was cracked.,0
83,His stubble grew.,The man slid the razor across his chin.,His stubble disappeared.,The man slid the razor across his chin.,1
84,The woman took her family on vacation.,Her husband got laid off.,The woman took her family on vacation.,She received a salary bonus.,1
85,The woman awakened.,She took sleeping pills.,The woman awakened.,Her husband was snoring.,1
86,She remembered to take her medication.,The woman sensed a pleasant smell.,She was reminded of her childhood.,The woman sensed a pleasant smell.,1
87,The bar closed.,It was crowded.,The bar closed.,It was 3 AM.,1
88,She identified the students that were absent.,The teacher took roll.,She gave her students a pop quiz.,The teacher took roll.,0
89,It slowed to a stop.,I pushed the pendulum.,It swung back and forth.,I pushed the pendulum.,1
90,The stack towered over the boy's head.,The child kicked the stack of blocks.,The blocks scattered all over the rug.,The child kicked the stack of blocks.,1
91,The teenager ran away from home.,He relied on his parents.,The teenager ran away from home.,His parents abused him.,1
92,I botched the job interview.,The interviewer asked difficult questions.,I botched the job interview.,I anticipated the interviewer's questions.,0
93,The pharmaceutical company recalled the drug.,Users reported dangerous side effects.,The pharmaceutical company recalled the drug.,Users got refills on their prescriptions.,0
94,He realized he forgot something.,The man looked at his watch.,He realized he was early.,The man looked at his watch.,1
95,I dabbed the floor with a paper towel.,I spilled juice on the floor.,I dabbed the floor with a paper towel.,The floor was permanently stained.,0
96,The bartender refused to serve the patron.,The patron was alone.,The bartender refused to serve the patron.,The patron was drunk.,1
97,I paid attention to the professor.,I was confused by the professor's lecture.,I asked the professor questions.,I was confused by the professor's lecture.,1
98,Schools banned it from its libraries.,The book was deemed inappropriate for children.,Teachers required students to read it.,The book was deemed inappropriate for children.,0
99,The woman took pity on him.,The man begged for forgiveness.,The woman joked around with him.,The man begged for forgiveness.,0
100,The package triggered my curiosity.,I received a package in the mail.,I took the package to the post office.,I received a package in the mail.,0
101,The speaker congratulated her opponent.,The speaker disarmed her debate opponent.,The speaker won the debate.,The speaker disarmed her debate opponent.,1
102,I moved to a new city.,I found a better-paying job.,I moved to a new city.,My son was born.,0
103,I avoided giving a straight answer to the question.,The question made me uncomfortable.,I avoided giving a straight answer to the question.,I wanted to be honest.,0
104,The student received detention.,He talked back to the teacher.,The student received detention.,The teacher graded his homework.,0
105,The boy's hands were shaking.,He planned to ask the girl out.,The boy's hands were shaking.,His palms were cold and sweaty.,0
106,The fans in the stadium cheered.,The game ended in a tie.,The fans in the stadium cheered.,The player scored.,1
107,Her bike swerved.,The girl went down the hill on her bike.,Her bike sped up.,The girl went down the hill on her bike.,1
108,I confronted him.,A man cut in front of me in the long line.,I smiled at him.,A man cut in front of me in the long line.,0
109,The inside of the train went dark.,The train travelled through a tunnel.,The inside of the train went dark.,The train ran off the tracks.,0
110,The turtle hid in its shell.,It ate a fish.,The turtle hid in its shell.,It detected a predator.,1
111,The girl handed down her clothes to her younger sister.,The clothes were tattered.,The girl handed down her clothes to her younger sister.,She outgrew the clothes.,1
112,The suspect was acquitted.,Several witnesses of the crime testified against the suspect.,The suspect was convicted.,Several witnesses of the crime testified against the suspect.,1
113,The parents left their children with a babysitter.,Their youngest child started attending preschool.,The parents left their children with a babysitter.,They made plans to celebrate their anniversary.,1
114,Consumers recognized the product.,The product was heavily advertised.,The product became outdated.,The product was heavily advertised.,0
115,The lasso grabbed onto the horse.,The cowgirl threw her lasso towards the horse.,The horse trotted into the barn.,The cowgirl threw her lasso towards the horse.,0
116,The woman was relieved.,The group overlooked the woman's faux pas.,The woman apologized.,The group overlooked the woman's faux pas.,0
117,She looked the term up in the dictionary.,The girl came across an unfamiliar word in her textbook.,She chucked the textbook across the room.,The girl came across an unfamiliar word in her textbook.,0
118,His family offered him financial support.,The man became disabled.,His family cut off contact with him.,The man became disabled.,0
119,I took it apart.,The flashlight was dead.,I replaced the batteries.,The flashlight was dead.,1
120,The dog emitted a foul smell.,The skunk sprayed the dog.,The skunk roamed the woods.,The skunk sprayed the dog.,0
121,My itch went away.,I scratched my skin.,My scar faded.,I scratched my skin.,0
122,I wrote a thank-you note to my grandmother.,She became forgetful.,I wrote a thank-you note to my grandmother.,She sent me a gift.,1
123,The door slammed shut.,I held the door for the woman entering behind me.,The woman thanked me.,I held the door for the woman entering behind me.,1
124,The girl turned on the fan.,The mirror in the bathroom fogged up.,The girl applied her makeup.,The mirror in the bathroom fogged up.,0
125,The car halted.,The driver rotated the steering wheel.,The car turned.,The driver rotated the steering wheel.,1
126,The ship crashed into the pier.,The navy bombed the ship.,The ship's debris sunk in the sea.,The navy bombed the ship.,1
127,She lost her balance.,The girl felt dizzy.,She did stretches.,The girl felt dizzy.,0
128,The driver pulled over to the side of the road.,He went through an intersection.,The driver pulled over to the side of the road.,He noticed a stranded vehicle.,1
129,The hospital sent the patient home.,The patient's symptoms cleared up.,The hospital sent the patient home.,The patient's family visited him.,0
130,The child caught a life-threatening illness.,She didn't get vaccinated.,The child caught a life-threatening illness.,She was adopted.,0
131,The film began.,We found empty seats in the theatre.,We sat down.,We found empty seats in the theatre.,1
132,They taught her how to ride a bike.,The parents recognized their daughter's creativity.,They encouraged her to become an artist.,The parents recognized their daughter's creativity.,1
133,The jar became warm.,The boy turned the lid on the jar.,The lid came off.,The boy turned the lid on the jar.,1
134,The woman received a diploma.,She enrolled in college.,The woman received a diploma.,She graduated from college.,1
135,I chugged the pitcher of water.,I walked upstairs.,I chugged the pitcher of water.,I ran five miles.,1
136,I leapt over the puddle.,I came upon a puddle on the sidewalk.,I played in the puddle.,I came upon a puddle on the sidewalk.,0
137,She excavated ancient artifacts.,The archeologist dug up the site.,She read about the site's history.,The archeologist dug up the site.,0
138,The audience booed the comedian off the stage.,He told a racist joke.,The audience booed the comedian off the stage.,He entertained the audience.,0
139,The coach gave his player a high five.,The player got a penalty.,The coach gave his player a high five.,The player scored a point.,1
140,I wiped my mouth.,My breath smelled of garlic.,I brushed my teeth.,My breath smelled of garlic.,1
141,He asked for directions.,The man was lost.,He drew a map.,The man was lost.,0
142,The baby burped.,The baby pulled the mother's hair.,The mother grimaced.,The baby pulled the mother's hair.,1
143,My balance wavered.,I stood on one foot.,I kneeled down.,I stood on one foot.,0
144,The car accelerated.,I pushed the gas pedal.,The car door opened.,I pushed the gas pedal.,0
145,My car was towed.,I parked illegally.,My car was towed.,I jumped the battery.,0
146,The woman got away with the crime.,Her accomplice was apprehended.,The woman got away with the crime.,She destroyed the evidence.,1
147,The motorcycle coasted to a halt.,The motorcyclist twisted the throttle.,The motorcycle shot forward.,The motorcyclist twisted the throttle.,1
148,The gum stuck to the student's shoe.,The teacher caught the student chewing gum.,The student spit out the gum.,The teacher caught the student chewing gum.,1
149,His guests were gracious.,The host served dinner to his guests.,His guests went hungry.,The host served dinner to his guests.,0
150,The boy climbed the tree.,A cat got stuck in the tree.,The boy climbed the tree.,A bird built a nest in the tree.,0
151,The chair squeaked.,The man carried the chair to his office.,The chair squeaked.,The man scooted the chair closer to his desk.,1
152,The father shut off the children's television.,It was bedtime for the children.,The father shut off the children's television.,The children were watching cartoons.,0
153,The man held his breath.,He went underwater.,The man held his breath.,He treaded water.,0
154,I ran away.,I clumsily bumped into the stranger.,I apologized to him.,I clumsily bumped into the stranger.,1
155,The boat capsized.,The captain raised the sail.,The boat capsized.,It was caught in a hurricane.,1
156,The mother suspected that her son was lying.,He refused to talk to her.,The mother suspected that her son was lying.,He avoided making eye contact with her.,1
157,The young woman was denied entrance into the bar.,Her friends stood her up.,The young woman was denied entrance into the bar.,She forgot her ID.,1
158,A crater formed on the moon.,A comet passed by the moon.,A crater formed on the moon.,A comet collided with the moon.,1
159,I watered the soil.,I planted the seeds in the soil.,The seeds sprouted.,I planted the seeds in the soil.,1
160,The benefactor requested to stay anonymous.,He wanted to maintain his privacy.,The benefactor requested to stay anonymous.,He supported the cause behind his donation.,0
161,He discovered that the patient's arm was broken.,The doctor x-rayed the patient's arm.,He put the patient's arm in a cast.,The doctor x-rayed the patient's arm.,0
162,She deleted old files on the computer.,The woman upgraded her computer hardware.,She installed new software on the computer.,The woman upgraded her computer hardware.,1
163,Her parents showed her how to dance.,The girl performed in a dance recital.,Her parents came to watch the recital.,The girl performed in a dance recital.,1
164,The mother picked up the baby.,The baby was wailing in his crib.,The baby crawled to the mother.,The baby was wailing in his crib.,0
165,She began going to church.,The woman had a religious awakening.,She began travelling abroad.,The woman had a religious awakening.,0
166,I threw away unnecessary contents.,The bureau drawers were cluttered.,I locked the drawers shut.,The bureau drawers were cluttered.,0
167,The student flaunted his test grade to his classmates.,He received a perfect score.,The student flaunted his test grade to his classmates.,He feigned interest in the class.,0
168,The boy felt homesick.,He went away to camp.,The boy felt homesick.,He bickered with his sister.,0
169,The rocket flew up into the sky.,The girl launched it.,The rocket flew up into the sky.,The girl designed it.,0
170,His mother told him to whisper.,The boy murmured his reply to his mother.,His mother told him to speak up.,The boy murmured his reply to his mother.,1
171,My flight got delayed.,Tornadoes were sighted in the area.,My flight got delayed.,I was held up at airport security.,0
172,The smoke alarm went off.,I lit a candle.,The smoke alarm went off.,I burnt my dinner.,1
173,I stenciled it.,The vase broke.,I glued it back together.,The vase broke.,1
174,The woman felt an electric shock.,She grabbed the doorknob.,The woman felt an electric shock.,She pounded on the door.,0
175,The man had lipstick on his cheek.,The woman kissed him.,The man had lipstick on his cheek.,The woman made him blush.,0
176,He planted a variety of seeds.,The gardener wanted his plants to flourish.,He put fertilizer in the soil.,The gardener wanted his plants to flourish.,1
177,A water pipe in the house burst.,The water was unsanitary.,A water pipe in the house burst.,The pipe froze.,1
178,I put on a belt.,The waistband on my pants was loose.,I put on a hat.,The waistband on my pants was loose.,0
179,The company lost money.,Its products received positive consumer reviews.,The company lost money.,Some of its products were manufactured defectively.,1
180,The tenants were evicted from the apartment.,They neglected to pay their rent.,The tenants were evicted from the apartment.,They got along with their landlord.,0
181,He missed an appointment with the dentist.,The man woke up with a toothache.,He made an appointment with the dentist.,The man woke up with a toothache.,1
182,The parents forbade their children from watching the movie. ,The movie was rated R.,The parents forbade their children from watching the movie. ,The movie was animated.,0
183,The woman deleted the email.,The sender tried to solicit money from her.,The woman deleted the email.,The sender requested a response from her.,0
184,The police eliminated the woman from the list of suspects.,The police interrogated her.,The police eliminated the woman from the list of suspects.,Her alibi checked out.,1
185,They encountered an avalanche.,The climbers reached the peak of the mountain.,They congratulated each other.,The climbers reached the peak of the mountain.,1
186,The window cracked.,The vandals threw a rock at the window.,The window fogged up.,The vandals threw a rock at the window.,0
187,She received many returning customers.,The fortune teller's revelations were convincing.,Many customers asked for refunds.,The fortune teller's revelations were convincing.,0
188,The woman's makeup smeared.,She brushed her hair.,The woman's makeup smeared.,She wiped her eyes.,1
189,It increased its marketing efforts for new products.,The company's profits started to level off.,It moved its headquarters to a suburban location.,The company's profits started to level off.,0
190,The teacher added bonus points to the student's grade.,The student's answer on the exam was incorrect.,The teacher subtracted points off the student's grade.,The student's answer on the exam was incorrect.,1
191,She threw away her napkin after eating.,The girl wanted to demonstrate proper etiquette.,She put her napkin on her lap before eating.,The girl wanted to demonstrate proper etiquette.,1
192,The police officer confiscated the detective's badge.,The detective flashed his badge to the police officer.,The police officer let the detective enter the crime scene.,The detective flashed his badge to the police officer.,1
193,The girl ate the cookies her mother baked.,The girl wanted to make her mother happy.,The girl picked a flower for her mother.,The girl wanted to make her mother happy.,1
194,Her parents took away her toy.,The toddler started crying.,Her parents gave her a toy.,The toddler started crying.,1
195,The man avoided his enemy.,The man uncovered incriminating evidence against his enemy.,The man blackmailed his enemy.,The man uncovered incriminating evidence against his enemy.,1
196,She glided down the slide.,The girl pushed herself off the top of the slide.,She crawled up the slide.,The girl pushed herself off the top of the slide.,0
197,Her parents hugged her.,The child disobeyed her parents.,Her parents punished her.,The child disobeyed her parents.,1
198,I sought a refund.,My friend paid for my ticket.,I paid her back.,My friend paid for my ticket.,1
199,The woman was wrongly convicted for the crime.,The jury was fair.,The woman was wrongly convicted for the crime.,She was framed.,1
200,The paper sliced apart.,The girl applied the scissors to the paper.,The paper crinkled.,The girl applied the scissors to the paper.,0
201,The woman visited her family.,She distrusted them.,The woman visited her family.,She missed them.,1
202,My teeth began to chatter.,I burst into a fit of laughter.,My eyes welled up with tears.,I burst into a fit of laughter.,1
203,Students protested the decision.,The school principal implemented a dress code.,Students were expelled from school.,The school principal implemented a dress code.,0
204,The balloon expanded.,I blew into it.,The balloon expanded.,I pricked it.,0
205,I remained quiet.,I wanted to lighten the mood of the conversation.,I told a joke.,I wanted to lighten the mood of the conversation.,1
206,The man broke his toe.,He got a hole in his sock.,The man broke his toe.,He dropped a hammer on his foot.,1
207,He manipulated his friend.,The man had an attack of conscience.,He admitted his indiscretion.,The man had an attack of conscience.,1
208,The principal suspended the students involved.,A fistfight broke out in the hall of the school.,The principal called off classes for the day.,A fistfight broke out in the hall of the school.,0
209,The photo albums collected dust in the attic.,They remained untouched for years.,The photo albums collected dust in the attic.,The family reminisced over the photos.,0
210,I got distracted from my conversation with the woman.,Everyone in the room was talking.,I got distracted from my conversation with the woman.,The woman was telling a funny story.,0
211,The machine powered on.,I put coins in the washing machine at the laundromat.,I ran out of laundry detergent.,I put coins in the washing machine at the laundromat.,0
212,The family postponed the barbeque.,The forecast called for storms.,The family postponed the barbeque.,It was a holiday weekend.,0
213,Air leaked out of the beach ball.,It was inflated.,Air leaked out of the beach ball.,There was a hole in it.,1
214,I felt awkward.,Our group's conversation gradually lulled to silence.,I became enraged.,Our group's conversation gradually lulled to silence.,0
215,The wrapper crinkled.,I clenched the candy wrapper in my fist.,The wrapper ripped.,I clenched the candy wrapper in my fist.,0
216,A sound played.,The woman pressed down on the piano key.,The key got stuck.,The woman pressed down on the piano key.,0
217,She went to see his new film.,The girl met her favorite actor.,She asked him for his autograph.,The girl met her favorite actor.,1
218,The vehicles travelled slowly.,It was cloudy.,The vehicles travelled slowly.,It was foggy.,1
219,The chandelier shattered on the floor.,The chandelier dropped from the ceiling.,The chandelier shattered on the floor.,The chandelier's lights flickered on and off.,0
220,The cat purred.,It scratched me.,The cat purred.,I petted it.,1
221,His sister tattled on him.,The boy pushed his sister.,They played hide and seek.,The boy pushed his sister.,0
222,He got his suit altered.,The man gained weight.,He got his shoes shined.,The man gained weight.,0
223,I brought my laptop to work.,The clouds looked dark.,I brought my umbrella to work.,The clouds looked dark.,1
224,The airplane crashed.,The engine of the airplane was faulty.,The pilot made an error.,The engine of the airplane was faulty.,0
225,Cars moved to the shoulder of the road.,The traffic light turned green.,Cars moved to the shoulder of the road.,A screaming ambulance approached.,1
226,The boy lost hold of the bar of soap.,The bar was slippery.,The boy lost hold of the bar of soap.,The bar emitted a fragrance.,0
227,I sewed the button back on.,The button on my shirt fell off.,I glued the button back on.,The button on my shirt fell off.,0
228,The celebrity wore sunglasses.,She wanted to thank her fans.,The celebrity wore sunglasses.,She wanted to avoid recognition.,1
229,My family held a funeral.,My grandmother passed away.,My family held a reunion.,My grandmother passed away.,0
230,The celebrity offered the officer a bribe.,The police officer pulled over the celebrity.,The celebrity sued the police officer.,The police officer pulled over the celebrity.,0
231,The man fell unconscious.,The assailant struck the man in the head.,The man fell unconscious.,The assailant took the man's wallet.,0
232,I approached the man.,He looked busy.,I approached the man.,He looked familiar.,1
233,The leader received praise.,He fought poverty.,The leader received praise.,He raised taxes.,0
234,He sipped coffee.,The man read the cartoon in the newspaper.,He chuckled.,The man read the cartoon in the newspaper.,1
235,My mailbox was overflowing with letters.,The lid on the mailbox broke.,My mailbox was overflowing with letters.,I went on vacation for two weeks.,1
236,We squeezed them.,The bananas ripened.,We ate them.,The bananas ripened.,1
237,The dough crumbled.,The chef pressed down on the dough.,The dough flattened.,The chef pressed down on the dough.,1
238,The clay hardened.,The potter rolled the clay into a ball.,The clay hardened.,The potter put the clay in the oven.,1
239,My feet were blistered.,I went hiking.,My feet were blistered.,I went swimming.,0
240,Her friend sent her a greeting card.,The woman betrayed her friend.,Her friend cut off contact with her.,The woman betrayed her friend.,1
241,The man took notice of the woman.,He caught a whiff of her perfume.,The man took notice of the woman.,He had his back turned to her.,0
242,They stopped seeing each other.,The woman and her boyfriend got into a fight.,They planned a vacation together.,The woman and her boyfriend got into a fight.,0
243,The bully picked up his classmate.,The bully stuck his foot out in front of his classmate.,The bully's classmate tripped.,The bully stuck his foot out in front of his classmate.,1
244,The man framed his enemy for a crime.,The man wanted to get revenge on his enemy.,The man declared a truce with his enemy.,The man wanted to get revenge on his enemy.,0
245,My yawning ceased.,I drank a cup of coffee.,I nodded off to sleep.,I drank a cup of coffee.,0
246,The woman was mistaken for her sister.,The woman was close with her sister.,The woman was mistaken for her sister.,The woman looked like her sister.,1
247,The man made an error in his calculations.,He checked his work.,The man made an error in his calculations.,His work was hasty.,1
248,The woman's eyeglasses fogged up.,She reclined by the pool.,The woman's eyeglasses fogged up.,She entered the sauna.,1
249,He checked its price tag.,The shopper wondered about the cost of the item.,He decided to buy it.,The shopper wondered about the cost of the item.,0
250,The host of the trivia show called on the contestant for an answer.,The contestant was in the lead.,The host of the trivia show called on the contestant for an answer.,The contestant rang the buzzer.,1
251,The boy was afraid to go to bed.,He turned on his nightlight.,The boy was afraid to go to bed.,He watched a horror movie.,1
252,She visited the hospital.,The woman wanted to be a doctor.,She went to medical school.,The woman wanted to be a doctor.,1
253,He recorded it.,The boy found the television show boring.,He shut it off.,The boy found the television show boring.,1
254,I encouraged her to take deep breaths.,My daughter suffered an allergy attack.,I took her to the emergency room.,My daughter suffered an allergy attack.,1
255,He refused to wear the shirt.,The boy had trouble buttoning his shirt.,He asked his mother for help.,The boy had trouble buttoning his shirt.,1
256,I spit out my chewing gum.,I blew a bubble with the gum.,I spit out my chewing gum.,The gum lost its flavor.,1
257,His mother hung the picture on the wall.,The boy painted a picture for his mother.,His mother sold the picture to a gallery.,The boy painted a picture for his mother.,0
258,The teams got pumped up.,The competition ended.,The teams shook hands.,The competition ended.,1
259,The girl politely declined the hamburger.,She was a vegetarian.,The girl politely declined the hamburger.,She liked fast food.,0
260,I got rid of the stain.,I scrubbed the stain on the floor.,I got dirt on the floor.,I scrubbed the stain on the floor.,0
261,I paper clipped them together.,The documents contained important information.,I kept them in a secure place.,The documents contained important information.,1
262,The egg splattered.,I dropped it.,The egg splattered.,I boiled it.,0
263,Her friend choked.,The girl pushed her friend.,Her friend fell over.,The girl pushed her friend.,1
264,The host of the party kicked them out.,A group of teenagers crashed the party.,The host of the party invited them in.,A group of teenagers crashed the party.,0
265,The man took a shower.,He was sweaty from working out.,The man took a shower.,He opened a new bar of soap.,0
266,It was adapted into a movie.,The book became a huge bestseller.,The author faded into obscurity.,The book became a huge bestseller.,0
267,The man felt thankful to be alive.,He was cured of cancer.,The man felt thankful to be alive.,His wife was diagnosed with cancer.,0
268,The woman wrote a check to the gas company.,She preferred paying by cash.,The woman wrote a check to the gas company.,She received her monthly bill.,1
269,The woman felt reluctant to switch careers.,She made a lot of money in her current occupation.,The woman felt reluctant to switch careers.,She endured a lot of stress in her current occupation.,0
270,The woman filed a restraining order against the man.,The man called her.,The woman filed a restraining order against the man.,The man stalked her.,1
271,The swimmers put on more sunscreen.,The ocean tide was dangerous.,The swimmers returned towards the shore.,The ocean tide was dangerous.,1
272,The woman refused a second beer.,She was the designated driver for the night.,The woman refused a second beer.,She was familiar with the bartender.,0
273,I ran out of breath.,I climbed several flights of stairs.,I ran out of breath.,I read several chapters of the book.,0
